species,order,migratory_status,marine,conservation_weight
Abeillia_abeillei,APODIFORMES,resident,False,0.1
Abroscopus_albogularis,PASSERIFORMES,resident,False,0.1
Abroscopus_schisticeps,PASSERIFORMES,resident,False,0.1
Abroscopus_superciliaris,PASSERIFORMES,resident,False,0.1
Aburria_aburri,GALLIFORMES,resident,False,0.1
Acanthagenys_rufogularis,PASSERIFORMES,resident,False,0.1
Acanthidops_bairdi,PASSERIFORMES,resident,False,0.1
Acanthisitta_chloris,PASSERIFORMES,resident,False,0.1
Acanthiza_apicalis,PASSERIFORMES,resident,False,0.1
Acanthiza_chrysorrhoa,PASSERIFORMES,resident,False,0.1
Acanthiza_ewingii,PASSERIFORMES,resident,False,0.1
Acanthiza_inornata,PASSERIFORMES,resident,False,0.1
Acanthiza_iredalei,PASSERIFORMES,resident,False,0.1
Acanthiza_katherina,PASSERIFORMES,resident,False,0.1
Acanthiza_lineata,PASSERIFORMES,resident,False,0.1
Acanthiza_murina,PASSERIFORMES,resident,False,0.1
Acanthiza_nana,PASSERIFORMES,resident,False,0.1
Acanthiza_pusilla,PASSERIFORMES,resident,False,0.1
Acanthiza_reguloides,PASSERIFORMES,resident,False,0.1
Acanthiza_robustirostris,PASSERIFORMES,resident,False,0.1
Acanthiza_uropygialis,PASSERIFORMES,resident,False,0.1
Acanthorhynchus_superciliosus,PASSERIFORMES,resident,False,0.1
Acanthorhynchus_tenuirostris,PASSERIFORMES,resident,False,0.1
Acanthornis_magna,PASSERIFORMES,resident,False,0.1
Accipiter_albogularis,ACCIPITRIFORMES,resident,False,0.1
Accipiter_badius,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_bicolor,ACCIPITRIFORMES,resident,False,0.1
Accipiter_brachyurus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_brevipes,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_butleri,ACCIPITRIFORMES,resident,False,0.1
Accipiter_castanilius,ACCIPITRIFORMES,resident,False,0.1
Accipiter_chilensis,ACCIPITRIFORMES,resident,False,0.1
Accipiter_chionogaster,ACCIPITRIFORMES,resident,False,0.1
Accipiter_cirrocephalus,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_collaris,ACCIPITRIFORMES,resident,False,0.1
Accipiter_cooperii,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_erythrauchen,ACCIPITRIFORMES,resident,False,0.1
Accipiter_erythronemius,ACCIPITRIFORMES,resident,False,0.1
Accipiter_erythropus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_fasciatus,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_francesiae,ACCIPITRIFORMES,resident,False,0.1
Accipiter_gentilis,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_griseiceps,ACCIPITRIFORMES,resident,False,0.1
Accipiter_gularis,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_gundlachi,ACCIPITRIFORMES,resident,False,0.1
Accipiter_haplochrous,ACCIPITRIFORMES,resident,False,0.1
Accipiter_henicogrammus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_henstii,ACCIPITRIFORMES,resident,False,0.1
Accipiter_hiogaster,ACCIPITRIFORMES,resident,False,0.1
Accipiter_imitator,ACCIPITRIFORMES,resident,False,0.1
Accipiter_luteoschistaceus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_madagascariensis,ACCIPITRIFORMES,resident,False,0.1
Accipiter_melanochlamys,ACCIPITRIFORMES,resident,False,0.1
Accipiter_melanoleucus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_meyerianus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_minullus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_nanus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_nisus,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_novaehollandiae,ACCIPITRIFORMES,resident,False,0.1
Accipiter_ovampensis,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_poliocephalus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_poliogaster,ACCIPITRIFORMES,resident,False,0.1
Accipiter_princeps,ACCIPITRIFORMES,resident,False,0.1
Accipiter_rhodogaster,ACCIPITRIFORMES,resident,False,0.1
Accipiter_rufitorques,ACCIPITRIFORMES,resident,False,0.1
Accipiter_rufiventris,ACCIPITRIFORMES,resident,False,0.1
Accipiter_soloensis,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_striatus,ACCIPITRIFORMES,directional migratory,False,1.0
Accipiter_superciliosus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_tachiro,ACCIPITRIFORMES,resident,False,0.1
Accipiter_toussenelii,ACCIPITRIFORMES,resident,False,0.1
Accipiter_trinotatus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_trivirgatus,ACCIPITRIFORMES,resident,False,0.1
Accipiter_ventralis,ACCIPITRIFORMES,resident,False,0.1
Accipiter_virgatus,ACCIPITRIFORMES,resident,False,0.1
Aceros_cassidix,BUCEROTIFORMES,resident,False,0.1
Aceros_corrugatus,BUCEROTIFORMES,resident,False,0.1
Aceros_leucocephalus,BUCEROTIFORMES,resident,False,0.1
Aceros_nipalensis,BUCEROTIFORMES,resident,False,0.1
Aceros_waldeni,BUCEROTIFORMES,resident,False,0.1
Achaetops_pycnopygius,PASSERIFORMES,resident,False,0.1
Acridotheres_albocinctus,PASSERIFORMES,resident,False,0.1
Acridotheres_burmannicus,PASSERIFORMES,resident,False,0.1
Acridotheres_cinereus,PASSERIFORMES,resident,False,0.1
Acridotheres_cristatellus,PASSERIFORMES,resident,False,0.1
Acridotheres_fuscus,PASSERIFORMES,resident,False,0.1
Acridotheres_ginginianus,PASSERIFORMES,resident,False,0.1
Acridotheres_grandis,PASSERIFORMES,resident,False,0.1
Acridotheres_javanicus,PASSERIFORMES,resident,False,0.1
Acridotheres_melanopterus,PASSERIFORMES,resident,False,0.1
Acridotheres_tristis,PASSERIFORMES,resident,False,0.1
Acritillas_indica,PASSERIFORMES,resident,False,0.1
Acrobatornis_fonsecai,PASSERIFORMES,resident,False,0.1
Acrocephalus_aequinoctialis,PASSERIFORMES,resident,False,0.1
Acrocephalus_agricola,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_arundinaceus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_astrolabii,PASSERIFORMES,extinct,False,0.0
Acrocephalus_atyphus,PASSERIFORMES,resident,False,0.1
Acrocephalus_australis,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_baeticatus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_bistrigiceps,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_brevipennis,PASSERIFORMES,resident,False,0.1
Acrocephalus_caffer,PASSERIFORMES,resident,False,0.1
Acrocephalus_concinens,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_dumetorum,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_familiaris,PASSERIFORMES,resident,False,0.1
Acrocephalus_gracilirostris,PASSERIFORMES,resident,False,0.1
Acrocephalus_griseldis,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_hiwae,PASSERIFORMES,resident,False,0.1
Acrocephalus_kerearako,PASSERIFORMES,resident,False,0.1
Acrocephalus_longirostris,PASSERIFORMES,extinct,False,0.0
Acrocephalus_luscinius,PASSERIFORMES,resident,False,0.1
Acrocephalus_melanopogon,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_mendanae,PASSERIFORMES,resident,False,0.1
Acrocephalus_musae,PASSERIFORMES,extinct,False,0.0
Acrocephalus_newtoni,PASSERIFORMES,resident,False,0.1
Acrocephalus_orientalis,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_orinus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_paludicola,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_palustris,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_percernis,PASSERIFORMES,resident,False,0.1
Acrocephalus_rehsei,PASSERIFORMES,resident,False,0.1
Acrocephalus_rimitarae,PASSERIFORMES,resident,False,0.1
Acrocephalus_rodericanus,PASSERIFORMES,resident,False,0.1
Acrocephalus_rufescens,PASSERIFORMES,resident,False,0.1
Acrocephalus_schoenobaenus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_scirpaceus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_sechellensis,PASSERIFORMES,resident,False,0.1
Acrocephalus_sorghophilus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_stentoreus,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_syrinx,PASSERIFORMES,resident,False,0.1
Acrocephalus_taiti,PASSERIFORMES,resident,False,0.1
Acrocephalus_tangorum,PASSERIFORMES,directional migratory,False,1.0
Acrocephalus_vaughani,PASSERIFORMES,resident,False,0.1
Acrocephalus_yamashinae,PASSERIFORMES,extinct,False,0.0
Acropternis_orthonyx,PASSERIFORMES,resident,False,0.1
Acryllium_vulturinum,GALLIFORMES,resident,False,0.1
Actenoides_bougainvillei,CORACIIFORMES,resident,False,0.1
Actenoides_concretus,CORACIIFORMES,resident,False,0.1
Actenoides_hombroni,CORACIIFORMES,resident,False,0.1
Actenoides_lindsayi,CORACIIFORMES,resident,False,0.1
Actenoides_monachus,CORACIIFORMES,resident,False,0.1
Actenoides_princeps,CORACIIFORMES,resident,False,0.1
Actinodura_egertoni,PASSERIFORMES,resident,False,0.1
Actinodura_morrisoniana,PASSERIFORMES,resident,False,0.1
Actinodura_nipalensis,PASSERIFORMES,resident,False,0.1
Actinodura_ramsayi,PASSERIFORMES,resident,False,0.1
Actinodura_sodangorum,PASSERIFORMES,resident,False,0.1
Actinodura_souliei,PASSERIFORMES,resident,False,0.1
Actinodura_waldeni,PASSERIFORMES,resident,False,0.1
Actitis_hypoleucos,CHARADRIIFORMES,directional migratory,False,1.0
Actitis_macularius,CHARADRIIFORMES,directional migratory,False,1.0
Actophilornis_africanus,CHARADRIIFORMES,nomadic,False,0.3
Actophilornis_albinucha,CHARADRIIFORMES,resident,False,0.1
Adelomyia_melanogenys,APODIFORMES,resident,False,0.1
Aechmophorus_clarkii,PODICIPEDIFORMES,directional migratory,False,1.0
Aechmophorus_occidentalis,PODICIPEDIFORMES,directional migratory,False,1.0
Aechmorhynchus_cancellatus,CHARADRIIFORMES,extinct,False,0.0
Aechmorhynchus_parvirostris,CHARADRIIFORMES,resident,False,0.1
Aegithalos_bonvaloti,PASSERIFORMES,resident,False,0.1
Aegithalos_caudatus,PASSERIFORMES,directional migratory,False,1.0
Aegithalos_concinnus,PASSERIFORMES,resident,False,0.1
Aegithalos_fuliginosus,PASSERIFORMES,resident,False,0.1
Aegithalos_glaucogularis,PASSERIFORMES,resident,False,0.1
Aegithalos_iouschistos,PASSERIFORMES,resident,False,0.1
Aegithalos_leucogenys,PASSERIFORMES,resident,False,0.1
Aegithalos_niveogularis,PASSERIFORMES,resident,False,0.1
Aegithalos_sharpei,PASSERIFORMES,resident,False,0.1
Aegithina_lafresnayei,PASSERIFORMES,resident,False,0.1
Aegithina_nigrolutea,PASSERIFORMES,resident,False,0.1
Aegithina_tiphia,PASSERIFORMES,resident,False,0.1
Aegithina_viridissima,PASSERIFORMES,resident,False,0.1
Aegolius_acadicus,STRIGIFORMES,directional migratory,False,1.0
Aegolius_funereus,STRIGIFORMES,dispersive migratory,False,0.5
Aegolius_harrisii,STRIGIFORMES,resident,False,0.1
Aegolius_ridgwayi,STRIGIFORMES,resident,False,0.1
Aegotheles_affinis,APODIFORMES,resident,False,0.1
Aegotheles_albertisi,APODIFORMES,resident,False,0.1
Aegotheles_archboldi,APODIFORMES,resident,False,0.1
Aegotheles_bennettii,APODIFORMES,resident,False,0.1
Aegotheles_crinifrons,APODIFORMES,resident,False,0.1
Aegotheles_cristatus,APODIFORMES,resident,False,0.1
Aegotheles_insignis,APODIFORMES,resident,False,0.1
Aegotheles_savesi,APODIFORMES,resident,False,0.1
Aegotheles_tatei,APODIFORMES,resident,False,0.1
Aegotheles_wallacii,APODIFORMES,resident,False,0.1
Aegypius_monachus,ACCIPITRIFORMES,directional migratory,False,1.0
Aenigmatolimnas_marginalis,GRUIFORMES,directional migratory,False,1.0
Aepypodius_arfakianus,GALLIFORMES,resident,False,0.1
Aepypodius_bruijnii,GALLIFORMES,resident,False,0.1
Aerodramus_bartschi,APODIFORMES,resident,False,0.1
Aerodramus_brevirostris,APODIFORMES,directional migratory,False,1.0
Aerodramus_ceramensis,APODIFORMES,resident,False,0.1
Aerodramus_elaphrus,APODIFORMES,resident,False,0.1
Aerodramus_francicus,APODIFORMES,resident,False,0.1
Aerodramus_fuciphagus,APODIFORMES,resident,False,0.1
Aerodramus_germani,APODIFORMES,resident,False,0.1
Aerodramus_hirundinaceus,APODIFORMES,resident,False,0.1
Aerodramus_infuscatus,APODIFORMES,resident,False,0.1
Aerodramus_inquietus,APODIFORMES,resident,False,0.1
Aerodramus_leucophaeus,APODIFORMES,resident,False,0.1
Aerodramus_maximus,APODIFORMES,resident,False,0.1
Aerodramus_mearnsi,APODIFORMES,resident,False,0.1
Aerodramus_nuditarsus,APODIFORMES,resident,False,0.1
Aerodramus_ocistus,APODIFORMES,resident,False,0.1
Aerodramus_orientalis,APODIFORMES,resident,False,0.1
Aerodramus_papuensis,APODIFORMES,resident,False,0.1
Aerodramus_pelewensis,APODIFORMES,resident,False,0.1
Aerodramus_salangana,APODIFORMES,resident,False,0.1
Aerodramus_sawtelli,APODIFORMES,resident,False,0.1
Aerodramus_sororum,APODIFORMES,resident,False,0.1
Aerodramus_spodiopygius,APODIFORMES,resident,False,0.1
Aerodramus_terraereginae,APODIFORMES,resident,False,0.1
Aerodramus_unicolor,APODIFORMES,resident,False,0.1
Aerodramus_vanikorensis,APODIFORMES,resident,False,0.1
Aerodramus_vulcanorum,APODIFORMES,resident,False,0.1
Aerodramus_whiteheadi,APODIFORMES,resident,False,0.1
Aeronautes_andecolus,APODIFORMES,resident,False,0.1
Aeronautes_montivagus,APODIFORMES,resident,False,0.1
Aeronautes_saxatalis,APODIFORMES,directional migratory,False,1.0
Aethia_cristatella,CHARADRIIFORMES,directional migratory,True,1.5
Aethia_psittacula,CHARADRIIFORMES,directional migratory,True,1.5
Aethia_pusilla,CHARADRIIFORMES,directional migratory,True,1.5
Aethia_pygmaea,CHARADRIIFORMES,dispersive migratory,True,0.5
Aethopyga_bella,PASSERIFORMES,resident,False,0.1
Aethopyga_boltoni,PASSERIFORMES,resident,False,0.1
Aethopyga_christinae,PASSERIFORMES,resident,False,0.1
Aethopyga_duyvenbodei,PASSERIFORMES,resident,False,0.1
Aethopyga_eximia,PASSERIFORMES,resident,False,0.1
Aethopyga_flagrans,PASSERIFORMES,resident,False,0.1
Aethopyga_gouldiae,PASSERIFORMES,dispersive migratory,False,0.5
Aethopyga_ignicauda,PASSERIFORMES,resident,False,0.1
Aethopyga_linaraborae,PASSERIFORMES,resident,False,0.1
Aethopyga_mystacalis,PASSERIFORMES,resident,False,0.1
Aethopyga_nipalensis,PASSERIFORMES,resident,False,0.1
Aethopyga_primigenia,PASSERIFORMES,resident,False,0.1
Aethopyga_pulcherrima,PASSERIFORMES,resident,False,0.1
Aethopyga_saturata,PASSERIFORMES,dispersive migratory,False,0.5
Aethopyga_shelleyi,PASSERIFORMES,resident,False,0.1
Aethopyga_siparaja,PASSERIFORMES,resident,False,0.1
Aethopyga_temminckii,PASSERIFORMES,resident,False,0.1
Aethopyga_vigorsii,PASSERIFORMES,resident,False,0.1
Afropavo_congensis,GALLIFORMES,resident,False,0.1
Afrotis_afra,OTIDIFORMES,resident,False,0.1
Afrotis_afraoides,OTIDIFORMES,resident,False,0.1
Agamia_agami,PELECANIFORMES,resident,False,0.1
Agapornis_canus,PSITTACIFORMES,resident,False,0.1
Agapornis_fischeri,PSITTACIFORMES,resident,False,0.1
Agapornis_lilianae,PSITTACIFORMES,resident,False,0.1
Agapornis_nigrigenis,PSITTACIFORMES,resident,False,0.1
Agapornis_personatus,PSITTACIFORMES,resident,False,0.1
Agapornis_pullarius,PSITTACIFORMES,dispersive migratory,False,0.5
Agapornis_roseicollis,PSITTACIFORMES,resident,False,0.1
Agapornis_swindernianus,PSITTACIFORMES,resident,False,0.1
Agapornis_taranta,PSITTACIFORMES,resident,False,0.1
Agelaioides_badius,PASSERIFORMES,resident,False,0.1
Agelaioides_oreopsar,PASSERIFORMES,resident,False,0.1
Agelaius_assimilis,PASSERIFORMES,resident,False,0.1
Agelaius_humeralis,PASSERIFORMES,resident,False,0.1
Agelaius_phoeniceus,PASSERIFORMES,directional migratory,False,1.0
Agelaius_tricolor,PASSERIFORMES,directional migratory,False,1.0
Agelaius_xanthomus,PASSERIFORMES,resident,False,0.1
Agelastes_meleagrides,GALLIFORMES,resident,False,0.1
Agelastes_niger,GALLIFORMES,resident,False,0.1
Agelasticus_cyanopus,PASSERIFORMES,resident,False,0.1
Agelasticus_thilius,PASSERIFORMES,directional migratory,False,1.0
Agelasticus_xanthophthalmus,PASSERIFORMES,resident,False,0.1
Aglaeactis_aliciae,APODIFORMES,resident,False,0.1
Aglaeactis_castelnaudii,APODIFORMES,resident,False,0.1
Aglaeactis_cupripennis,APODIFORMES,resident,False,0.1
Aglaeactis_pamela,APODIFORMES,resident,False,0.1
Aglaiocercus_berlepschi,APODIFORMES,resident,False,0.1
Aglaiocercus_coelestis,APODIFORMES,resident,False,0.1
Aglaiocercus_kingii,APODIFORMES,resident,False,0.1
Agriornis_albicauda,PASSERIFORMES,resident,False,0.1
Agriornis_lividus,PASSERIFORMES,resident,False,0.1
Agriornis_micropterus,PASSERIFORMES,directional migratory,False,1.0
Agriornis_montanus,PASSERIFORMES,directional migratory,False,1.0
Agriornis_murinus,PASSERIFORMES,directional migratory,False,1.0
Agropsar_philippensis,PASSERIFORMES,directional migratory,False,1.0
Agropsar_sturninus,PASSERIFORMES,directional migratory,False,1.0
Ailuroedus_buccoides,PASSERIFORMES,resident,False,0.1
Ailuroedus_crassirostris,PASSERIFORMES,resident,False,0.1
Ailuroedus_melanotis,PASSERIFORMES,resident,False,0.1
Aimophila_notosticta,PASSERIFORMES,resident,False,0.1
Aimophila_rufescens,PASSERIFORMES,resident,False,0.1
Aimophila_ruficeps,PASSERIFORMES,resident,False,0.1
Aix_galericulata,ANSERIFORMES,directional migratory,False,1.0
Aix_sponsa,ANSERIFORMES,directional migratory,False,1.0
Alaemon_alaudipes,PASSERIFORMES,resident,False,0.1
Alaemon_hamertoni,PASSERIFORMES,resident,False,0.1
Alauda_arvensis,PASSERIFORMES,directional migratory,False,1.0
Alauda_gulgula,PASSERIFORMES,directional migratory,False,1.0
Alauda_razae,PASSERIFORMES,resident,False,0.1
Alca_torda,CHARADRIIFORMES,directional migratory,True,1.5
Alcedo_atthis,CORACIIFORMES,directional migratory,False,1.0
Alcedo_coerulescens,CORACIIFORMES,resident,False,0.1
Alcedo_euryzona,CORACIIFORMES,resident,False,0.1
Alcedo_hercules,CORACIIFORMES,resident,False,0.1
Alcedo_meninting,CORACIIFORMES,resident,False,0.1
Alcedo_quadribrachys,CORACIIFORMES,resident,False,0.1
Alcedo_semitorquata,CORACIIFORMES,resident,False,0.1
Alcippe_brunnea,PASSERIFORMES,resident,False,0.1
Alcippe_brunneicauda,PASSERIFORMES,resident,False,0.1
Alcippe_castaneceps,PASSERIFORMES,resident,False,0.1
Alcippe_cinerea,PASSERIFORMES,resident,False,0.1
Alcippe_davidi,PASSERIFORMES,resident,False,0.1
Alcippe_dubia,PASSERIFORMES,resident,False,0.1
Alcippe_fratercula,PASSERIFORMES,resident,False,0.1
Alcippe_grotei,PASSERIFORMES,resident,False,0.1
Alcippe_hueti,PASSERIFORMES,resident,False,0.1
Alcippe_klossi,PASSERIFORMES,resident,False,0.1
Alcippe_morrisonia,PASSERIFORMES,resident,False,0.1
Alcippe_nipalensis,PASSERIFORMES,resident,False,0.1
Alcippe_peracensis,PASSERIFORMES,resident,False,0.1
Alcippe_poioicephala,PASSERIFORMES,resident,False,0.1
Alcippe_pyrrhoptera,PASSERIFORMES,resident,False,0.1
Alcippe_rufogularis,PASSERIFORMES,resident,False,0.1
Alcippe_variegaticeps,PASSERIFORMES,resident,False,0.1
Aleadryas_rufinucha,PASSERIFORMES,resident,False,0.1
Alectoris_barbara,GALLIFORMES,resident,False,0.1
Alectoris_chukar,GALLIFORMES,resident,False,0.1
Alectoris_graeca,GALLIFORMES,resident,False,0.1
Alectoris_magna,GALLIFORMES,resident,False,0.1
Alectoris_melanocephala,GALLIFORMES,resident,False,0.1
Alectoris_philbyi,GALLIFORMES,resident,False,0.1
Alectoris_rufa,GALLIFORMES,resident,False,0.1
Alectroenas_madagascariensis,COLUMBIFORMES,resident,False,0.1
Alectroenas_nitidissima,COLUMBIFORMES,extinct,False,0.0
Alectroenas_pulcherrimus,COLUMBIFORMES,resident,False,0.1
Alectroenas_sganzini,COLUMBIFORMES,resident,False,0.1
Alectrurus_risora,PASSERIFORMES,resident,False,0.1
Alectrurus_tricolor,PASSERIFORMES,resident,False,0.1
Alectura_lathami,GALLIFORMES,resident,False,0.1
Alethe_castanea,PASSERIFORMES,resident,False,0.1
Alethe_diademata,PASSERIFORMES,resident,False,0.1
Alipiopsitta_xanthops,PSITTACIFORMES,resident,False,0.1
Alisterus_amboinensis,PSITTACIFORMES,resident,False,0.1
Alisterus_chloropterus,PSITTACIFORMES,resident,False,0.1
Alisterus_scapularis,PSITTACIFORMES,resident,False,0.1
Alle_alle,CHARADRIIFORMES,directional migratory,True,1.5
Allenia_fusca,PASSERIFORMES,resident,False,0.1
Alophoixus_bres,PASSERIFORMES,resident,False,0.1
Alophoixus_finschii,PASSERIFORMES,resident,False,0.1
Alophoixus_flaveolus,PASSERIFORMES,resident,False,0.1
Alophoixus_frater,PASSERIFORMES,resident,False,0.1
Alophoixus_ochraceus,PASSERIFORMES,resident,False,0.1
Alophoixus_pallidus,PASSERIFORMES,resident,False,0.1
Alophoixus_phaeocephalus,PASSERIFORMES,resident,False,0.1
Alopochelidon_fucata,PASSERIFORMES,directional migratory,False,1.0
Alopochen_aegyptiaca,ANSERIFORMES,resident,False,0.1
Alopochen_mauritianus,ANSERIFORMES,extinct,False,0.0
Amadina_erythrocephala,PASSERIFORMES,dispersive migratory,False,0.5
Amadina_fasciata,PASSERIFORMES,resident,False,0.1
Amalocichla_incerta,PASSERIFORMES,resident,False,0.1
Amalocichla_sclateriana,PASSERIFORMES,resident,False,0.1
Amandava_amandava,PASSERIFORMES,resident,False,0.1
Amandava_formosa,PASSERIFORMES,resident,False,0.1
Amandava_subflava,PASSERIFORMES,resident,False,0.1
Amaurocichla_bocagii,PASSERIFORMES,resident,False,0.1
Amaurolimnas_concolor,GRUIFORMES,resident,False,0.1
Amaurornis_akool,GRUIFORMES,directional migratory,False,1.0
Amaurornis_flavirostra,GRUIFORMES,resident,False,0.1
Amaurornis_isabellina,GRUIFORMES,resident,False,0.1
Amaurornis_magnirostris,GRUIFORMES,resident,False,0.1
Amaurornis_moluccana,GRUIFORMES,resident,False,0.1
Amaurornis_olivacea,GRUIFORMES,resident,False,0.1
Amaurornis_olivieri,GRUIFORMES,resident,False,0.1
Amaurornis_phoenicurus,GRUIFORMES,directional migratory,False,1.0
Amaurospiza_carrizalensis,PASSERIFORMES,resident,False,0.1
Amaurospiza_concolor,PASSERIFORMES,resident,False,0.1
Amaurospiza_moesta,PASSERIFORMES,resident,False,0.1
Amazilia_amabilis,APODIFORMES,dispersive migratory,False,0.5
Amazilia_amazilia,APODIFORMES,resident,False,0.1
Amazilia_beryllina,APODIFORMES,resident,False,0.1
Amazilia_boucardi,APODIFORMES,resident,False,0.1
Amazilia_brevirostris,APODIFORMES,resident,False,0.1
Amazilia_candida,APODIFORMES,directional migratory,False,1.0
Amazilia_castaneiventris,APODIFORMES,resident,False,0.1
Amazilia_chionogaster,APODIFORMES,resident,False,0.1
Amazilia_cyanifrons,APODIFORMES,resident,False,0.1
Amazilia_cyanocephala,APODIFORMES,directional migratory,False,1.0
Amazilia_cyanura,APODIFORMES,resident,False,0.1
Amazilia_decora,APODIFORMES,resident,False,0.1
Amazilia_edward,APODIFORMES,resident,False,0.1
Amazilia_fimbriata,APODIFORMES,resident,False,0.1
Amazilia_franciae,APODIFORMES,resident,False,0.1
Amazilia_lactea,APODIFORMES,resident,False,0.1
Amazilia_leucogaster,APODIFORMES,resident,False,0.1
Amazilia_luciae,APODIFORMES,resident,False,0.1
Amazilia_rosenbergi,APODIFORMES,resident,False,0.1
Amazilia_rutila,APODIFORMES,directional migratory,False,1.0
Amazilia_saucerrottei,APODIFORMES,resident,False,0.1
Amazilia_tobaci,APODIFORMES,resident,False,0.1
Amazilia_tzacatl,APODIFORMES,resident,False,0.1
Amazilia_versicolor,APODIFORMES,resident,False,0.1
Amazilia_violiceps,APODIFORMES,directional migratory,False,1.0
Amazilia_viridicauda,APODIFORMES,resident,False,0.1
Amazilia_viridifrons,APODIFORMES,resident,False,0.1
Amazilia_viridigaster,APODIFORMES,resident,False,0.1
Amazilia_wagneri,APODIFORMES,resident,False,0.1
Amazilia_yucatanensis,APODIFORMES,directional migratory,False,1.0
Amazona_aestiva,PSITTACIFORMES,resident,False,0.1
Amazona_agilis,PSITTACIFORMES,resident,False,0.1
Amazona_albifrons,PSITTACIFORMES,resident,False,0.1
Amazona_amazonica,PSITTACIFORMES,resident,False,0.1
Amazona_arausiaca,PSITTACIFORMES,resident,False,0.1
Amazona_auropalliata,PSITTACIFORMES,resident,False,0.1
Amazona_autumnalis,PSITTACIFORMES,resident,False,0.1
Amazona_barbadensis,PSITTACIFORMES,resident,False,0.1
Amazona_brasiliensis,PSITTACIFORMES,resident,False,0.1
Amazona_collaria,PSITTACIFORMES,resident,False,0.1
Amazona_diadema,PSITTACIFORMES,resident,False,0.1
Amazona_dufresniana,PSITTACIFORMES,resident,False,0.1
Amazona_farinosa,PSITTACIFORMES,resident,False,0.1
Amazona_festiva,PSITTACIFORMES,resident,False,0.1
Amazona_finschi,PSITTACIFORMES,resident,False,0.1
Amazona_guildingii,PSITTACIFORMES,resident,False,0.1
Amazona_imperialis,PSITTACIFORMES,resident,False,0.1
Amazona_kawalli,PSITTACIFORMES,resident,False,0.1
Amazona_leucocephala,PSITTACIFORMES,resident,False,0.1
Amazona_mercenarius,PSITTACIFORMES,resident,False,0.1
Amazona_ochrocephala,PSITTACIFORMES,resident,False,0.1
Amazona_oratrix,PSITTACIFORMES,resident,False,0.1
Amazona_pretrei,PSITTACIFORMES,directional migratory,False,1.0
Amazona_rhodocorytha,PSITTACIFORMES,resident,False,0.1
Amazona_tresmariae,PSITTACIFORMES,resident,False,0.1
Amazona_tucumana,PSITTACIFORMES,resident,False,0.1
Amazona_ventralis,PSITTACIFORMES,resident,False,0.1
Amazona_versicolor,PSITTACIFORMES,resident,False,0.1
Amazona_vinacea,PSITTACIFORMES,resident,False,0.1
Amazona_viridigenalis,PSITTACIFORMES,dispersive migratory,False,0.5
Amazona_vittata,PSITTACIFORMES,resident,False,0.1
Amazona_xantholora,PSITTACIFORMES,resident,False,0.1
Amazonetta_brasiliensis,ANSERIFORMES,directional migratory,False,1.0
Amblycercus_holosericeus,PASSERIFORMES,resident,False,0.1
Amblyornis_flavifrons,PASSERIFORMES,resident,False,0.1
Amblyornis_inornata,PASSERIFORMES,resident,False,0.1
Amblyornis_macgregoriae,PASSERIFORMES,resident,False,0.1
Amblyornis_subalaris,PASSERIFORMES,resident,False,0.1
Amblyospiza_albifrons,PASSERIFORMES,resident,False,0.1
Amblyramphus_holosericeus,PASSERIFORMES,resident,False,0.1
Ammodramus_aurifrons,PASSERIFORMES,resident,False,0.1
